venue,product_type,symbol,phase,rows,total_usdt_volume,mean_usdt_volume_per_bar,total_base_volume,mean_base_volume_per_bar,event_vs_pre_usdt_vol_ratio
futures,USDT-FUTURES,BTCUSDT,event_window,358,595862661.81805,1664420.8430671787,6645.4184,18.56262122905028,0.8827531829829013
futures,USDT-FUTURES,BTCUSDT,post_window,3941,7991545365.91968,2027796.3374574168,86489.4111,21.946057117482873,0.8827531829829013
futures,USDT-FUTURES,BTCUSDT,pre_window,4299,8105714419.70592,1885488.3507108444,91102.0425,21.19144975575715,0.8827531829829013
futures,USDT-FUTURES,XAUUSDT,event_window,358,774164.5181,2162.4707209497205,177.93,0.49701117318435756,1.1325761242533308
futures,USDT-FUTURES,XAUUSDT,post_window,3941,8424774.9401,2137.725181451408,1910.64,0.4848109616848516,1.1325761242533308
futures,USDT-FUTURES,XAUUSDT,pre_window,4299,8208244.3999,1909.3380785996742,1888.51,0.43929053268201906,1.1325761242533308
spot,SPOT,BTCUSDT,event_window,358,91988698.33398467,256951.67132397954,1024.745704,2.8624181675977654,1.246382905410164
spot,SPOT,BTCUSDT,post_window,3941,1012243855.7688332,256849.49397838954,10956.741945,2.780193337985283,1.246382905410164
spot,SPOT,BTCUSDT,pre_window,4299,886272773.9821422,206157.89113331988,9967.393206,2.3185376147941383,1.246382905410164
