venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,BTCUSDT,2026-01-01 16:00:00+00:00,60,87949.3,31289340.42593,355.9458,31289340.42593
futures,USDT-FUTURES,BTCUSDT,2026-01-01 17:00:00+00:00,60,88276.3,141983927.40294,1608.3309,141983927.40294
futures,USDT-FUTURES,BTCUSDT,2026-01-01 18:00:00+00:00,59,88161.8,76843864.47698,871.6313,76843864.47698
futures,USDT-FUTURES,BTCUSDT,2026-01-01 19:00:00+00:00,60,88343.1,44369257.02438,502.8315,44369257.02438
futures,USDT-FUTURES,BTCUSDT,2026-01-01 20:00:00+00:00,60,88211.3,27892475.10335,315.995,27892475.10335
futures,USDT-FUTURES,BTCUSDT,2026-01-01 21:00:00+00:00,60,88341.4,26741181.48748,302.7667,26741181.48748
futures,USDT-FUTURES,BTCUSDT,2026-01-01 22:00:00+00:00,59,88605.5,102020015.9246,1152.74,102020015.9246
futures,USDT-FUTURES,BTCUSDT,2026-01-01 23:00:00+00:00,60,88791.0,111619905.17582999,1258.4808,111619905.17582999
futures,USDT-FUTURES,BTCUSDT,2026-01-02 00:00:00+00:00,60,88788.0,82332385.18628,928.247,82332385.18628
futures,USDT-FUTURES,BTCUSDT,2026-01-02 01:00:00+00:00,59,88589.9,50559456.2207,570.4895,50559456.2207
futures,USDT-FUTURES,BTCUSDT,2026-01-02 02:00:00+00:00,60,88592.1,82187485.86517,929.2012,82187485.86517
futures,USDT-FUTURES,BTCUSDT,2026-01-02 03:00:00+00:00,60,88900.6,174531087.43269,1963.0411,174531087.43269
futures,USDT-FUTURES,BTCUSDT,2026-01-02 04:00:00+00:00,59,88599.5,68811568.12227,775.4225,68811568.12227
futures,USDT-FUTURES,BTCUSDT,2026-01-02 05:00:00+00:00,60,88704.3,47014019.74659,530.3693,47014019.74659
futures,USDT-FUTURES,BTCUSDT,2026-01-02 06:00:00+00:00,60,88887.3,86951050.66803001,978.3383,86951050.66803001
futures,USDT-FUTURES,BTCUSDT,2026-01-02 07:00:00+00:00,60,88819.0,68629432.4517,772.2325,68629432.4517
futures,USDT-FUTURES,BTCUSDT,2026-01-02 08:00:00+00:00,59,89127.3,84169658.87332,945.5778,84169658.87332
futures,USDT-FUTURES,BTCUSDT,2026-01-02 09:00:00+00:00,60,89427.6,209960412.66610003,2351.7788,209960412.66610003
futures,USDT-FUTURES,BTCUSDT,2026-01-02 10:00:00+00:00,60,89600.0,340901923.17057,3801.8593,340901923.17057
futures,USDT-FUTURES,BTCUSDT,2026-01-02 11:00:00+00:00,59,89446.4,126698141.83115,1416.4691,126698141.83115
futures,USDT-FUTURES,BTCUSDT,2026-01-02 12:00:00+00:00,60,89356.2,63807675.11494,713.5158,63807675.11494
futures,USDT-FUTURES,BTCUSDT,2026-01-02 13:00:00+00:00,60,89298.7,136097603.54836,1521.5826,136097603.54836
futures,USDT-FUTURES,BTCUSDT,2026-01-02 14:00:00+00:00,59,89536.2,717152358.32779,8039.0609,717152358.32779
