timestamp_ms,open,high,low,close,base_volume,usdt_volume,quote_volume,datetime_utc,venue,product_type,symbol
1767160860000,88431.0,88447.7,88431.0,88447.7,8.7098,770239.57254,770239.57254,2025-12-31 06:01:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767160920000,88447.7,88461.6,88447.6,88455.8,3.1901,282193.60417,282193.60417,2025-12-31 06:02:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767160980000,88455.8,88462.8,88453.7,88453.8,1.3498,119396.52015,119396.52015,2025-12-31 06:03:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161040000,88453.8,88453.8,88449.8,88449.9,2.4928,220488.69205,220488.69205,2025-12-31 06:04:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161100000,88449.9,88482.0,88449.8,88478.6,10.3548,916115.51003,916115.51003,2025-12-31 06:05:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161160000,88478.6,88498.5,88478.6,88498.5,3.9359,348294.94374,348294.94374,2025-12-31 06:06:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161220000,88498.5,88498.5,88460.0,88460.1,6.8335,604569.55432,604569.55432,2025-12-31 06:07:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161280000,88460.1,88460.2,88451.0,88460.1,9.3993,831405.67361,831405.67361,2025-12-31 06:08:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161340000,88460.1,88483.9,88460.1,88483.9,7.2412,640670.19728,640670.19728,2025-12-31 06:09:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161400000,88483.9,88483.9,88483.8,88483.8,0.4908,43427.88624,43427.88624,2025-12-31 06:10:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161460000,88483.8,88512.4,88483.8,88498.9,7.1396,631852.28753,631852.28753,2025-12-31 06:11:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161520000,88498.9,88499.0,88498.9,88499.0,2.0,176997.93379,176997.93379,2025-12-31 06:12:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161580000,88499.0,88499.0,88495.1,88495.2,0.4377,38734.79788,38734.79788,2025-12-31 06:13:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161640000,88495.2,88495.2,88495.1,88495.1,2.5907,229264.35235,229264.35235,2025-12-31 06:14:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161700000,88495.1,88505.0,88490.0,88494.0,48.0483,4251993.21738,4251993.21738,2025-12-31 06:15:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161760000,88494.0,88494.0,88482.0,88482.1,3.8111,337243.53144,337243.53144,2025-12-31 06:16:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161820000,88482.1,88482.1,88438.6,88451.6,44.7524,3958545.85483,3958545.85483,2025-12-31 06:17:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161880000,88451.6,88460.0,88451.5,88454.2,7.8173,691477.32287,691477.32287,2025-12-31 06:18:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767161940000,88454.2,88477.8,88454.1,88477.8,5.2602,465298.8907,465298.8907,2025-12-31 06:19:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162000000,88477.8,88497.6,88477.8,88497.6,3.9165,346584.90144,346584.90144,2025-12-31 06:20:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162060000,88497.6,88497.6,88497.5,88497.6,0.6744,59682.76401,59682.76401,2025-12-31 06:21:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162120000,88497.6,88509.9,88497.5,88509.9,3.6579,323748.68911,323748.68911,2025-12-31 06:22:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162180000,88509.9,88533.5,88509.8,88530.0,22.2624,1970832.82004,1970832.82004,2025-12-31 06:23:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162240000,88530.0,88530.0,88510.0,88510.1,16.6261,1471737.97802,1471737.97802,2025-12-31 06:24:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162300000,88510.1,88513.5,88510.0,88510.0,2.3103,204491.679,204491.679,2025-12-31 06:25:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162360000,88510.0,88510.1,88510.0,88510.1,1.7302,153140.14306,153140.14306,2025-12-31 06:26:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162420000,88510.1,88510.1,88484.1,88484.1,3.1068,274972.45112,274972.45112,2025-12-31 06:27:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162480000,88484.1,88511.3,88478.4,88511.3,3.8885,344104.91786,344104.91786,2025-12-31 06:28:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162540000,88511.3,88511.4,88511.3,88511.4,1.4307,126633.2403,126633.2403,2025-12-31 06:29:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162600000,88511.4,88528.3,88511.3,88528.3,10.3045,912124.96353,912124.96353,2025-12-31 06:30:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162660000,88528.3,88528.3,88528.2,88528.3,1.5245,134961.36969,134961.36969,2025-12-31 06:31:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162720000,88528.3,88539.7,88528.2,88539.7,7.516,665433.14522,665433.14522,2025-12-31 06:32:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162780000,88539.7,88539.7,88539.6,88539.7,1.7198,152270.5479,152270.5479,2025-12-31 06:33:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162840000,88539.7,88539.7,88539.6,88539.7,1.831,162116.11846,162116.11846,2025-12-31 06:34:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162900000,88539.7,88539.7,88519.0,88519.1,8.5477,756697.42931,756697.42931,2025-12-31 06:35:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767162960000,88519.1,88519.2,88501.6,88501.7,7.3097,647001.55985,647001.55985,2025-12-31 06:36:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767163020000,88501.7,88501.7,88475.9,88490.3,2.2454,198684.48892,198684.48892,2025-12-31 06:37:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767163080000,88490.3,88490.4,88480.5,88484.9,4.4322,392194.82458,392194.82458,2025-12-31 06:38:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767163140000,88484.9,88496.1,88479.6,88486.0,16.9592,1500796.63938,1500796.63938,2025-12-31 06:39:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767163200000,88486.0,88492.4,88485.9,88492.3,1.1375,100659.44705,100659.44705,2025-12-31 06:40:00+00:00,futures,USDT-FUTURES,BTCUSDT
1767163260000,88492.3,88492.4,88492.3,88492.4,1.5081,133455.28355,133455.28355,2025-12-31 06:41:00+00:00,futures,USDT-FUTURES,BTCUSDT
