venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,BTCUSDT,2026-02-25 07:00:00+00:00,30,65008.0,34290699.44199,527.733,34290699.44199
futures,USDT-FUTURES,BTCUSDT,2026-02-25 08:00:00+00:00,60,65487.6,117411841.61966,1797.8778,117411841.61966
futures,USDT-FUTURES,BTCUSDT,2026-02-25 09:00:00+00:00,60,65519.3,93378673.93375,1425.4464,93378673.93375
futures,USDT-FUTURES,BTCUSDT,2026-02-25 10:00:00+00:00,59,65368.8,65205354.91182,996.7664,65205354.91182
futures,USDT-FUTURES,BTCUSDT,2026-02-25 11:00:00+00:00,60,65395.9,77301960.29718,1184.0127,77301960.29718
futures,USDT-FUTURES,BTCUSDT,2026-02-25 12:00:00+00:00,60,66040.0,199974003.27462,3037.4788,199974003.27462
futures,USDT-FUTURES,BTCUSDT,2026-02-25 13:00:00+00:00,60,66205.9,250446053.81286,3778.7841,250446053.81286
futures,USDT-FUTURES,BTCUSDT,2026-02-25 14:00:00+00:00,59,66934.4,330749626.74787,4969.1636,330749626.74787
futures,USDT-FUTURES,BTCUSDT,2026-02-25 15:00:00+00:00,60,67359.5,406420756.84577,6050.5974,406420756.84577
futures,USDT-FUTURES,BTCUSDT,2026-02-25 16:00:00+00:00,60,68254.8,405189980.62358,5973.4422,405189980.62358
futures,USDT-FUTURES,BTCUSDT,2026-02-25 17:00:00+00:00,59,68625.8,452947185.91561,6615.1889,452947185.91561
futures,USDT-FUTURES,BTCUSDT,2026-02-25 18:00:00+00:00,60,69283.7,436495819.11678,6321.5806,436495819.11678
futures,USDT-FUTURES,BTCUSDT,2026-02-25 19:00:00+00:00,60,69004.0,187784595.83819,2722.2342,187784595.83819
futures,USDT-FUTURES,BTCUSDT,2026-02-25 20:00:00+00:00,59,69104.0,130184061.72145,1887.7658000000001,130184061.72145
futures,USDT-FUTURES,BTCUSDT,2026-02-25 21:00:00+00:00,60,68875.6,351926866.07117003,5080.7323,351926866.07117003
futures,USDT-FUTURES,BTCUSDT,2026-02-25 22:00:00+00:00,60,68400.7,217646407.53025,3173.3067,217646407.53025
futures,USDT-FUTURES,BTCUSDT,2026-02-25 23:00:00+00:00,60,67954.6,210059075.66824,3088.2193,210059075.66824
futures,USDT-FUTURES,BTCUSDT,2026-02-26 00:00:00+00:00,59,68291.6,148041759.81922,2172.1394,148041759.81922
futures,USDT-FUTURES,BTCUSDT,2026-02-26 01:00:00+00:00,60,68208.4,89905914.26294,1314.0545,89905914.26294
futures,USDT-FUTURES,BTCUSDT,2026-02-26 02:00:00+00:00,60,68218.5,115178721.26165,1693.8771,115178721.26165
futures,USDT-FUTURES,BTCUSDT,2026-02-26 03:00:00+00:00,59,68185.5,62934177.8686,923.4572000000001,62934177.8686
futures,USDT-FUTURES,BTCUSDT,2026-02-26 04:00:00+00:00,60,68528.6,107903410.38684,1573.2755,107903410.38684
futures,USDT-FUTURES,BTCUSDT,2026-02-26 05:00:00+00:00,60,68407.3,107938922.1716,1580.4923000000001,107938922.1716
futures,USDT-FUTURES,BTCUSDT,2026-02-26 06:00:00+00:00,59,68139.6,65006283.09783,953.0134,65006283.09783
futures,USDT-FUTURES,BTCUSDT,2026-02-26 07:00:00+00:00,60,67795.6,102861139.39875999,1512.9666,102861139.39875999
futures,USDT-FUTURES,BTCUSDT,2026-02-26 08:00:00+00:00,60,67920.6,106444086.72636,1565.7664,106444086.72636
futures,USDT-FUTURES,BTCUSDT,2026-02-26 09:00:00+00:00,60,68542.0,141231630.43929,2066.7806,141231630.43929
futures,USDT-FUTURES,BTCUSDT,2026-02-26 10:00:00+00:00,59,68265.5,89613958.89996,1309.5756999999999,89613958.89996
futures,USDT-FUTURES,BTCUSDT,2026-02-26 11:00:00+00:00,60,68013.2,71375136.8645,1048.0264,71375136.8645
futures,USDT-FUTURES,BTCUSDT,2026-02-26 12:00:00+00:00,60,68139.3,80447930.20629,1180.8538,80447930.20629
futures,USDT-FUTURES,BTCUSDT,2026-02-26 13:00:00+00:00,59,67876.1,88762537.50092,1305.0661,88762537.50092
futures,USDT-FUTURES,BTCUSDT,2026-02-26 14:00:00+00:00,60,67668.4,375033350.20159,5539.6124,375033350.20159
futures,USDT-FUTURES,BTCUSDT,2026-02-26 15:00:00+00:00,60,67358.2,390657293.47558,5817.3157,390657293.47558
futures,USDT-FUTURES,BTCUSDT,2026-02-26 16:00:00+00:00,59,66618.0,285025775.81362,4260.1916,285025775.81362
futures,USDT-FUTURES,BTCUSDT,2026-02-26 17:00:00+00:00,60,66800.0,128091890.03279,1917.3338,128091890.03279
futures,USDT-FUTURES,BTCUSDT,2026-02-26 18:00:00+00:00,60,67274.6,186420717.34018,2780.2405,186420717.34018
futures,USDT-FUTURES,BTCUSDT,2026-02-26 19:00:00+00:00,60,67553.8,239808357.91211,3548.1187,239808357.91211
futures,USDT-FUTURES,BTCUSDT,2026-02-26 20:00:00+00:00,59,67389.4,117804841.03232001,1745.0655,117804841.03232001
futures,USDT-FUTURES,BTCUSDT,2026-02-26 21:00:00+00:00,60,67433.0,72926665.99031,1083.2312,72926665.99031
futures,USDT-FUTURES,BTCUSDT,2026-02-26 22:00:00+00:00,60,67536.1,41152988.36898,610.0692,41152988.36898
futures,USDT-FUTURES,BTCUSDT,2026-02-26 23:00:00+00:00,59,67447.1,38433457.75353,569.5732,38433457.75353
futures,USDT-FUTURES,BTCUSDT,2026-02-27 00:00:00+00:00,60,67196.2,81830035.28581,1218.1473,81830035.28581
futures,USDT-FUTURES,BTCUSDT,2026-02-27 01:00:00+00:00,60,67316.0,115547969.8163,1722.3635,115547969.8163
futures,USDT-FUTURES,BTCUSDT,2026-02-27 02:00:00+00:00,60,67229.3,87606739.2806,1300.3496,87606739.2806
futures,USDT-FUTURES,BTCUSDT,2026-02-27 03:00:00+00:00,59,67568.0,75706448.80697,1124.443,75706448.80697
